english,5
spanish,5
french,5
german,5
chinese,5
italian,5
arabic,5
polish,5
japanese,5
portuguese,5
dutch,5
korean,5
vietnamese,5
modern greek (1453-),4
swedish,5
danish,4
bulgarian,4
serbo-croatian,5
russian,5
finnish,4
czech,4
catalan,4
persian,5
norwegian,4
turkish,4
romanian,4
thai,4
estonian,4
hebrew,4
hindi,4
latvian,4
slovak,4
slovenian,2
ukrainian,4
pushto,2
basque,4
latin,4
lithuanian,4
hungarian,4
malay (macrolanguage),4
macedonian,4
tamil,4
urdu,4
swahili (macrolanguage),4
bengali,4
czech sign language,0
hausa,3
icelandic,2
irish,2
panjabi,4
malayalam,3
maltese,2
nepali (macrolanguage),3
telugu,3
western frisian,2
afrikaans,3
amharic,2
azerbaijani,3
gujarati,3
sinhala,3
albanian,3
american sign language,0
assamese,3
breton,3
corsican,2
esperanto,3
galician,3
german sign language,0
kannada,2
kashmiri,2
khasi,0
manipuri,2
marathi,3
mongolian,2
northern sami,2
oriya (macrolanguage),3
oromo,1
romany,1
scottish gaelic,1
sidamo,0
somali,2
tigrinya,1
uighur,2
uzbek,4
welsh,3
yoruba,2
tagalog,4
lao,2
georgian,4
khmer,2
haitian,3
cebuano,4
yemba,0
middle english (1100-1500),0
zulu,2
kurdish,3
lahnda,3
kazakh,3
mahou,0
guarani,2
filipino,0
faroese,2
tibetan,2
trinidadian creole english,0
tok pisin,1
igbo,2
bambara,1
wolof,1
zacatlán-ahuacatlán-tepetzintla nahuatl,0
highland puebla nahuatl,0
luo (kenya and tanzania),0
lucumi,0
mandingo,0
ngomba,0
kumarbhag paharia,0
kinyarwanda,1
javanese,2
sanskrit,3
sauria paharia,0
sea island creole english,0
mal paharia,0
akan,2
abkhazian,2
achinese,2
adyghe,1
swiss german,3
amis,1
angika,1
aragonese,3
rakhine,1
syriac,1
armenian,3
macedo-romanian,1
arpitan,2
asturian,3
atayal,1
atikamekw,1
avaric,2
awadhi,1
aymara,2
balinese,2
bashkir,3
batak mandailing,1
batak toba,1
bavarian,3
belarusian,3
betawi,1
bhojpuri,3
bishnupriya,2
bislama,1
buginese,2
burmese,3
bikol,2
dusun witu,1
kanuri,1
chamorro,1
chavacano,2
chechen,3
cherokee,1
cheyenne,1
church slavic,1
chuvash,3
kölsch,2
cornish,2
cree,1
crimean tatar,2
dagbani,2
zaza,2
dinka,1
divehi,2
dzongkha,1
mari (russia),2
emilian,2
erzya,2
ewe,1
extremaduran,2
fiji hindi,2
fijian,1
fon,1
farefare,1
friulian,1
fulah,2
gagauz,1
ganda,1
ghanaian pidgin english,2
gilaki,2
konkani (macrolanguage),2
gorontalo,2
gothic,1
guianese creole french,1
gun,1
hawaiian,1
iban,1
ido,3
igala,1
iloko,3
inari sami,2
ingush,2
interlingua (international auxiliary language association),2
interlingue,1
inuktitut,1
inupiaq,1
jamaican creole english,1
kabardian,1
kabiyè,1
kabyle,2
kalaallisut,1
kalmyk,2
karachay-balkar,2
kara-kalpak,2
kashubian,2
kikuyu,1
komering,1
komi,2
kongo,1
kotava,2
kusaal,1
kirghiz,3
ladin,3
ladino,2
lak,2
lezghian,2
ligurian,2
limburgan,2
lingala,2
lingua franca nova,1
livvi,2
lojban,1
lombard,3
low german,3
lower sorbian,2
luxembourgish,3
madurese,2
maithili,2
malagasy,3
manx,1
maori,2
mazanderani,3
mingrelian,1
mirandese,2
moksha,2
mon,1
mossi,1
n'ko,1
eastern huasteca nahuatl,2
navajo,2
neapolitan,2
nepal bhasa,3
nias,1
nigerian pidgin,1
jèrriais,2
northern frisian,2
pedi,2
novial,1
nupe-nupe-tako,1
chichewa,1
obolo,1
occitan (post 1500),3
old english (ca. 450-1100),2
ossetian,3
paiwan,1
pfaelzisch,1
pali,1
pampanga,2
pangasinan,1
ruthenian,1
pa'o karen,2
papiamento,2
pennsylvania german,1
picard,2
piemontese,3
pontic,1
quechua,2
romansh,2
rundi,1
buriat,1
rusyn,2
sakizaya,1
samoan,1
samogitian,2
sango,1
santali,2
sardinian,2
saterfriesisch,2
scots,3
shan,1
shona,2
sicilian,2
silesian,3
sindhi,2
south ndebele,1
southern altai,1
southern dagaare,1
southern sotho,1
sranan tongo,1
standard moroccan tamazight,2
sundanese,3
swati,1
sylheti,1
tachelhit,2
tahitian,1
tai nüa,1
tajik,3
talysh,2
sediq,1
tatar,3
tetum,1
tigre,1
tonga (tonga islands),1
tsonga,1
tswana,1
tulu,2
tumbuka,1
turkmen,2
tuvinian,2
tyap,1
udmurt,2
upper sorbian,2
venda,1
venetian,3
veps,2
volapük,3
walloon,2
waray (philippines),3
wayuu,1
west coast bajau,1
vlaams,2
western armenian,2
xhosa,1
yakut,2
yiddish,2
zeeuws,2
zhuang,1
seluwasan,0
nzakara,0
nimi,0
baeggu,0
central pame,0
lamba,0
morouas,0
northern rengma naga,0
ili'uun,0
fwâi,0
temein,0
dungu,0
slave (athapascan),0
rudbari,0
päri,0
ayiwo,0
nyole,0
pictish,0
ditidaht,0
berakou,0
aulua,0
enggano,0
sempan,0
mamasa,0
tulehu,0
nasarian,0
tumzabt,0
rao,0
tukang besi south,0
tunia,0
bayungu,0
ebrié,0
bum,0
vemgo-mabas,0
ilwana,0
day,0
chong,0
so'a,0
walser,0
tarifit,0
wandala,0
beli (south sudan),0
dyan,0
nabak,0
omok,0
muong,0
pamona,0
magori,0
belhariya,0
northern tidung,0
masbatenyo,0
nugunu (cameroon),0
lusi,0
biete,0
mehri,0
southern one,0
pancana,0
tangkhul naga (india),0
nyabwa,0
buli (ghana),0
malba birifor,0
woria,0
kandawo,0
qaqet,0
ayautla mazatec,0
worrorra,0
koyukon,0
gangulu,0
maii,0
shempire senoufo,0
baimak,0
kuman (papua new guinea),0
neo,0
karian,0
bo (papua new guinea),0
bokyi,0
mezontla popoloca,0
eastern muria,0
eastern mnong,0
beng,0
eastern gorkha tamang,0
pisidian,0
yaygir,0
kolbila,0
bungu,0
balanta-ganja,0
kaniet,0
mangga buang,0
chayahuita,0
lengo,0
tapei,0
central bai,0
ömie,0
miluk,0
are,0
mawak,0
amahai,0
nila,0
numanggang,0
taivoan,0
zotung chin,0
karanga,0
waja,0
kohistani shina,0
ilianen manobo,0
seneca,0
konomala,0
diuxi-tilantongo mixtec,0
duwai,0
ethiopian sign language,0
kayong,0
casuarina coast asmat,0
senthang chin,0
kambera,0
port sorell tasmanian,0
lenakel,0
mbukushu,0
wuzlam,0
traveller norwegian,0
yindjilandji,0
tinani,0
brokskat,0
sa'och,0
korean sign language,0
maa,0
hamap,0
phala,0
tala,0
bit,0
ambele,0
aleut,0
mapia,0
urhobo,0
nimo,0
tsat,0
nii,0
kodeoha,0
lower silesian,0
shoo-minda-nye,0
tigak,0
kaxararí,0
viemo,0
wolio,0
bekati',0
adara,0
kandas,0
elymian,0
lawu,0
napu,0
northwest pashai,0
kota (india),0
tonga (zambia),0
viti,0
vitu,0
yilan creole,0
ts'ün-lao,0
old ossetic,0
kove,0
morori,0
gorap,0
lubuagan kalinga,0
warji,0
ukaan,0
bantayanon,0
zimakani,0
tiene,0
nara,0
umanakaina,0
tidikelt tamazight,0
emberá-chamí,0
khalaj,0
roon,0
ghanaian sign language,0
kimaama,0
apma,0
tavringer romani,0
northern sierra miwok,0
takia,0
parachi,0
gweda,0
mariyedi,0
bo (laos),0
eastern arrernte,0
chol,0
wapishana,0
eastern magar,0
waioli,0
tunggare,0
ga,0
sinagen,0
copainalá zoque,0
tai long,0
suabo,0
swabian,0
sambe,0
bahnar,0
southern pumi,0
mombum,0
jaqaru,0
gugu warra,0
tewa (indonesia),0
penang sign language,0
manipa,0
tauya,0
desano,0
biafada,0
baha buyang,0
mamuju,0
nauete,0
mag-indi ayta,0
alur,0
nooksack,0
ubykh,0
timugon murut,0
gongduk,0
